codigo_estacion,periodo_mensual,precipitacion
0023050420,2017-08,2.3
0023050420,2017-09,0.6000000000000001
0023050420,2017-10,1.2000000000000002
0023050420,2018-01,201.4
0023050420,2018-02,587.3
0023050420,2018-03,0.9000000000000001
0023050420,2018-04,19.1
0023050420,2018-05,17.0
0023050420,2018-06,5.0
0023050420,2018-08,0.5
0023050420,2018-09,12.0
0023050420,2018-10,18.0
0023050420,2018-11,26.2
0023050420,2018-12,4.8
0023050420,2019-01,0.7
0023057140,2007-03,24.0
0023057140,2007-04,4.9
0023057140,2007-06,5.7
0023057140,2007-07,15.5
0023057140,2007-08,23.1
0023057140,2007-09,14.8
0023057140,2007-10,21.6
0023057140,2007-12,14.0
0023057140,2008-01,3.3
0023057140,2008-02,17.9
0023057140,2008-03,11.299999999999999
0023057140,2008-05,5.2
0023057140,2008-06,10.8
0023057140,2008-07,8.7
0023057140,2008-08,61.0
0023057140,2008-09,6.3999999999999995
0023057140,2008-10,35.5
0023057140,2008-11,0.7000000000000001
0023057140,2009-01,3.6
0023057140,2009-02,4.9
0023057140,2009-03,8.9
0023057140,2009-04,2.4000000000000004
0023057140,2009-05,0.4
0023057140,2009-06,1.3
0023057140,2009-07,12.1
0023057140,2009-08,21.2
0023057140,2009-09,5.5
0023057140,2009-10,20.5
0023057140,2009-11,5.3
0023057140,2009-12,7.7
0023057140,2010-01,2.2
0023057140,2010-02,1.0
0023057140,2010-03,7.9
0023057140,2010-04,33.3
0023057140,2010-05,26.900000000000002
0023057140,2010-06,3.8000000000000003
0023057140,2010-07,10.8
0023057140,2010-08,14.5
0023057140,2010-09,31.500000000000004
0023057140,2010-10,1.5
0023057140,2010-11,13.700000000000001
0023057140,2010-12,2.4
0023057140,2011-01,0.6000000000000001
0023057140,2011-03,24.7
0023057140,2011-04,18.1
0023057140,2011-05,15.5
0023057140,2011-06,13.3
0023057140,2011-07,5.5
0023057140,2011-08,38.1
0023057140,2011-09,27.000000000000004
0023057140,2011-10,24.6
0023057140,2011-11,30.0
0023057140,2011-12,9.9
0023057140,2012-02,1.6
0023057140,2012-06,4.5
0023057140,2012-07,2.5
0023057140,2012-08,16.1
0023057140,2012-09,8.7
0023057140,2012-10,28.4
0023057140,2012-11,19.7
0023057140,2012-12,8.1
0023057140,2013-02,44.6
0023057140,2013-04,0.7000000000000001
0023057140,2013-06,16.099999999999998
0023057140,2013-07,15.9
0023057140,2013-08,17.3
0023085080,2019-03,2.6
0023085080,2019-04,23.0
0023085080,2019-05,24.6
0023085080,2019-06,5.199999999999999
0023085080,2019-07,22.8
0023085080,2019-08,7.6
0023085260,2005-01,11.200000000000001
0023085260,2005-02,14.200000000000001
0023085260,2005-03,6.1000000000000005
0023085260,2005-04,7.4
0023085260,2005-05,21.8
0023085260,2005-06,5.8
0023085260,2005-07,5.300000000000001
0023085260,2005-08,10.1
0023085260,2005-09,25.900000000000002
0023085260,2006-01,9.5
0023085260,2006-03,7.3
0023085260,2012-02,4.8
0023085260,2012-03,13.400000000000002
0023085260,2012-06,10.8
0023085260,2012-07,11.6
0023085260,2012-08,7.3
0023085260,2012-09,3.8
0023085260,2012-10,13.3
0023085260,2012-11,20.8
0023085260,2012-12,5.7
0023085260,2013-01,3.7
0023085260,2013-02,7.6000000000000005
0023085260,2013-03,34.0
0023085260,2013-04,4.1
0023085260,2013-05,26.4
0023085260,2013-06,16.4
0023085260,2013-07,2.4000000000000004
0023085260,2013-08,14.8
0023085260,2013-09,20.3
0023085260,2013-10,13.200000000000001
0023085260,2013-11,24.400000000000002
0023085260,2013-12,4.0
0023085260,2014-01,2.2
0023085260,2014-02,10.999999999999998
0023085260,2014-03,9.5
0023085260,2014-04,11.4
0023085260,2014-05,20.8
0023085260,2014-06,13.4
0023085260,2014-07,4.3
0023085260,2014-08,24.1
0023085260,2014-09,23.2
0023085260,2014-10,13.6
0023085260,2014-11,8.6
0023085260,2014-12,6.6
