id_estacion;nom_est;longitud;latitud;altitud;et_mmy;departamento;municipio;ah;zszh;vereda;subregion;depto_region;corriente
24010750;MIRAVALLES [24010750];-73,60916254;5,925829268;1547;1170;Boyaca;Moniquira;MagdalenaCauca;RioSuarez;SAN VICENTE;;Boyaca - ;
26180200;MONTEBELLO [26180200];-75,5368335;5,950837016;2136;1040;Antioquia;Montebello;MagdalenaCauca;RioArma;LA GRANJA;SUROESTE;Antioquia - Suroeste;
25020850;REGENCIA [25020850];-74,65000334;8,133332034;32;1584;Bolivar;Montecristo;MagdalenaCauca;CaucaSanJorgeLaMojana;SIN DEFINIR;;Bolivar - ;
25021120;SERRANIA SAN LUCAS [25021120];-74,35000091;8,300002433;711;1383;Bolivar;Montecristo;MagdalenaCauca;DirectosalMagdalena(BrazoMorales);SIN DEFINIR;;Bolivar - ;
25025230;MONTECRISANTO [25025230];-74,48333658;8,299998709;23;1587;Bolivar;Montecristo;MagdalenaCauca;CaucaSanJorgeLaMojana;LA MARQUEZA;;Bolivar - ;
25010080;PICA PICA - AUT [25010080];-75,67999808;8,029999837;80;1569;Cordoba;Montelibano;MagdalenaCauca;CaucaAltoSanJorge;PICA PICA NUEVO;;Cordoba - ;
25010090;MONTELIBANO [25010090];-75,48332944;8,033332134;66;1574;Cordoba;Montelibano;MagdalenaCauca;CaucaAltoSanJorge;EL ANCLAR;;Cordoba - ;
25010100;SAN FRANCISCO [25010100];-75,75999774;8,129170718;182;1538;Cordoba;Montelibano;Caribe;MedioSinu;SAN FRANCISCO DEL RAYO;;Cordoba - ;
25025160;CUBA HACIENDA [25025160];-75,40277963;8,003892634;44;1581;Cordoba;Montelibano;MagdalenaCauca;CaucaSanJorgeLaMojana;EL CUCHARO;;Cordoba - ;
13035501;AEROPUERTO LOS GARZONES [13035501];-75,82514026;8,825834303;12;1591;Cordoba;Monteria;Caribe;BajoSinu;CORREGIMIENTO MATEO GOMEZ;;Cordoba - ;
13050010;SANTA LUCIA [13050010];-76,04527891;8,848609884;69;1573;Cordoba;Monteria;Caribe;BajoSinu;SANTA LUCIA;;Cordoba - ;
13050020;SANTA CRUZ HACIENDA [13050020];-76,12388864;8,667496404;157;1545;Cordoba;Monteria;Caribe;BajoSinu;TENERIFE;;Cordoba - ;
13050030;LOMA VERDE [13050030];-76,17527662;8,501947722;88;1567;Cordoba;Monteria;Caribe;BajoSinu;LOMA VERDE;;Cordoba - ;
13050040;TRES PIEDRAS [13050040];-75,9666698;8,450004051;25;1587;Cordoba;Monteria;Caribe;MedioSinu;CURRAYAO;;Cordoba - ;
13055010;VORAGINE LA [13055010];-76,0333301;8,599999759;24;1587;Cordoba;Monteria;Caribe;BajoSinu;EL GUINEO;;Cordoba - ;
13055030;GALAN [13055030];-75,97250398;8,659162148;20;1588;Cordoba;Monteria;Caribe;MedioSinu;JARAQUIEL;;Cordoba - ;
13060010;SAN ANTERITO [13060010];-75,8611141;8,557774064;64;1574;Cordoba;Monteria;Caribe;MedioSinu;SAN ANTERITO;;Cordoba - ;
13060020;BUENOS AIRES [13060020];-75,76528142;8,475829872;52;1578;Cordoba;Monteria;Caribe;MedioSinu;BUENOS AIRES;;Cordoba - ;
13065010;TORPEZA LA [13065010];-75,96666946;8,433330246;27;1586;Cordoba;Monteria;Caribe;MedioSinu;TRES PIEDRAS;;Cordoba - ;
13065020;MARACAYO [13065020];-75,87999711;8,409998866;18;1589;Cordoba;Monteria;Caribe;MedioSinu;MARACAYO;;Cordoba - ;
13070070;BOCA DE LA CEIBA [13070070];-75,85611169;8,829919942;17;1589;Cordoba;Monteria;Caribe;BajoSinu;LA CEIBA;;Cordoba - ;
13070130;CALIFORNIA [13070130];-75,83333079;8,783329178;12;1591;Cordoba;Monteria;Caribe;BajoSinu;EL TAPAO;;Cordoba - ;
13070150;MOCARI [13070150];-75,86666659;8,799996124;13;1590;Cordoba;Monteria;Caribe;BajoSinu;PICA PICA;;Cordoba - ;
13070220;FLOR DEL SINU [13070220];-75,85000364;8,816662395;15;1590;Cordoba;Monteria;Caribe;BajoSinu;LA CEIBA;;Cordoba - ;
13070230;HORIZONTE [13070230];-75,86666477;8,766664184;19;1589;Cordoba;Monteria;Caribe;BajoSinu;;;Cordoba - ;
13070260;LAMAS 3 [13070260];-75,85000343;8,733331322;12;1591;Cordoba;Monteria;Caribe;BajoSinu;LOS PERICOS;;Cordoba - ;
13070270;MONTERIA [13070270];-75,84183783;8,826530647;15;1590;Cordoba;Monteria;Caribe;BajoSinu;LA CEIBA;;Cordoba - ;
13070280;SABANAL [13070280];-75,75138722;8,78860938;11;1591;Cordoba;Monteria;Caribe;BajoSinu;EL HATO;;Cordoba - ;
13070290;TAMPA [13070290];-75,76721862;8,624720892;36;1583;Cordoba;Monteria;Caribe;BajoSinu;PUEBLO NUEVO;;Cordoba - ;
