Año;Edad;Hombres;Mujeres
1979;14;338756;328650
1979;15;332037;322457
1979;16;324300;315263
1979;17;315303;306751
1979;18;305070;297046
1979;19;294213;286757
1979;20;283150;276190
1979;21;271446;265073
1979;22;259445;253821
1979;23;247680;242713
1979;24;236083;231714
1979;25;224899;221155
1979;26;213810;210626
1979;27;203160;200455
1979;28;194095;191735
1979;29;184534;182472
1979;30;167815;169067
1979;31;161658;162810
1979;32;154130;155537
1979;33;146664;148388
1979;34;139536;141566
1979;35;132712;135008
1979;36;126175;128699
1979;37;120106;122785
1979;38;114521;117305
1979;39;109248;112119
1979;40;104182;107174
1979;41;100188;103269
1979;42;97007;100177
1979;43;94170;97440
1979;44;91428;94815
1979;45;89338;92809
1979;46;86608;90182
1979;47;83406;87068
1979;48;80225;83948
1979;49;77698;81439
1979;50;75106;78854
1979;51;72267;75997
1979;52;69318;73029
1979;53;66367;70074
1979;54;63552;67290
1979;55;60699;64474
1979;56;57934;61757
1979;57;55262;59141
1979;58;52646;56580
1979;59;49892;53884
1979;60;47027;51083
1979;61;44919;49117
1979;62;43401;47794
1979;63;41900;46526
1979;64;40170;45019
1979;65;38803;43912
1979;66;36719;41931
1979;67;34044;39226
1979;68;31277;36354
1979;69;28875;33900
1979;70;26231;31151
1979;71;23928;28742
1979;72;21904;26658
1979;73;19841;24617
1979;74;17618;22415
1979;75;15607;20421
1979;76;13544;18637
1979;77;11553;17016
1979;78;9801;15525
1979;79;8363;14127
1979;80;7068;12816
1979;81;6016;11376
1979;82;5137;9855
1979;83;4334;8350
1979;84;3555;6939
1979;85;2869;5590
1979;86;2266;4446
1979;87;1749;3498
1979;88;1321;2704
1979;89;982;2045
1979;90;719;1535
1979;91;510;1115
1979;92;352;782
1979;93;238;533
1979;94;159;355
1979;95;103;227
1979;96;65;141
1979;97;40;85
1979;98;24;49
1979;99;14;27
1979;100;15;30
1981;0;402068;387149
1981;1;391231;377147
1981;2;380677;367387
1981;3;371947;359028
1981;4;363677;351144
1981;5;355909;343688
1981;6;349569;337745
1981;7;345526;334004
1981;8;342857;331577
1981;9;342593;331242
1981;10;342886;331303
1981;11;343683;332287
1981;12;344702;333559
1981;13;345108;334064
1981;14;343765;332955
1981;15;341203;330868
1981;16;337113;327260
1981;17;330001;320731
1981;18;321860;313209
1981;19;312477;304398
1981;20;301894;294442
1981;21;290733;283959
1981;22;279425;273259
1981;23;267548;262067
1981;24;255449;250797
1981;25;243668;239718
1981;26;232136;228787
1981;27;221082;218328
1981;28;210170;207919
1981;29;199718;197878
1981;30;190844;189287
1981;31;181468;180153
1981;32;164972;166884
1981;33;158948;160731
1981;34;151550;153558
1981;35;144203;146500
1981;36;137184;139758
1981;37;130461;133272
1981;38;124020;127032
1981;39;118042;121178
1981;40;112543;115761
1981;41;107358;110639
1981;42;102378;105759
1981;43;98456;101915
1981;44;95332;98871
1981;45;92534;96168
1981;46;89810;93560
1981;47;87708;91546
1981;48;84955;88897
1981;49;81726;85756
1981;50;78515;82609
1981;51;75958;80074
1981;52;73352;77478
1981;53;70514;74630
1981;54;67576;71678
1981;55;64629;68737
1981;56;61801;65950
1981;57;58916;63114
1981;58;56095;60356
1981;59;53350;57681
1981;60;50609;55018
1981;61;47763;52241
1981;62;44857;49395
1981;63;42693;47369
1981;64;41102;45972
1981;65;39532;44629
1981;66;37743;43056
1981;67;36293;41859
1981;68;34163;39822
1981;69;31482;37095
1981;70;28777;34254
1981;71;26416;31812
1981;72;23793;29058
1981;73;21500;26634
1981;74;19478;24524
1981;75;17445;22465
1981;76;15303;20277
1981;77;13379;18296
1981;78;11448;16519
1981;79;9614;14896
1981;80;8012;13390
1981;81;6696;11960
1981;82;5523;10598
1981;83;4565;9134
1981;84;3768;7636
1981;85;3060;6211
1981;86;2408;4938
1981;87;1861;3803
1981;88;1406;2897
1981;89;1038;2189
1981;90;750;1627
1981;91;533;1183
1981;92;374;851
1981;93;254;589
1981;94;167;391
1981;95;108;251
1981;96;68;157
1981;97;42;95
1981;98;25;56
1981;99;15;32
1981;100;16;35
1984;0;415097;399629
1984;1;407848;393203
1984;2;400670;386688
1984;3;393565;380191
1984;4;387105;373933
1984;5;377941;365149
1984;6;369666;357099
1984;7;361756;349491
1984;8;354352;342350
1984;9;348336;336707
1984;10;344535;333201
1984;11;341999;330911
1984;12;341749;330601
1984;13;341946;330588
1984;14;342533;331399
1984;15;343227;332400
1984;16;343203;332557
1984;17;341358;331052
1984;18;338252;328558
1984;19;333611;324561
1984;20;325975;317694
1984;21;317353;309895
1984;22;307551;300877
1984;23;296629;290787
1984;24;285230;280237
1984;25;273796;269533
1984;26;261921;258392
1984;27;249944;247216
1984;28;238375;236264
1984;29;227108;225478
1984;30;216339;215173
1984;31;205707;204919
1984;32;195513;195028
1984;33;186856;186572
1984;34;177681;177564
1984;35;161450;164433
1984;36;155559;158369
1984;37;148298;151278
1984;38;141081;144291
1984;39;134183;137615
1984;40;127578;131192
1984;41;121250;125018
1984;42;115382;119234
1984;43;109987;113887
1984;44;104894;108832
1984;45;99994;104009
1984;46;96114;100192
1984;47;92996;97142
1984;48;90174;94405
1984;49;87405;91740
1984;50;85236;89649
1984;51;82429;86935
1984;52;79166;83753
1984;53;75936;80585
1984;54;73347;78033
1984;55;70709;75425
1984;56;67832;72565
1984;57;64837;69587
1984;58;61810;66596
1984;59;58877;63736
1984;60;55812;60759
1984;61;52838;57870
1984;62;49962;55069
1984;63;47137;52308
1984;64;44236;49443
1984;65;41295;46529
1984;66;39053;44400
1984;67;37339;42871
1984;68;35637;41399
1984;69;33735;39714
1984;70;32183;38411
1984;71;30023;36330
1984;72;27394;33621
1984;73;24721;30778
1984;74;22375;28303
1984;75;19843;25568
1984;76;17628;23144
1984;77;15674;21013
1984;78;13751;18946
1984;79;11788;16791
1984;80;10040;14828
1984;81;8335;13044
1984;82;6756;11390
1984;83;5401;9840
1984;84;4300;8378
1984;85;3355;7019
1984;86;2608;5681
1984;87;2016;4443
1984;88;1528;3378
1984;89;1120;2514
1984;90;806;1816
1984;91;567;1299
1984;92;391;921
1984;93;263;641
1984;94;175;434
1984;95;114;288
1984;96;71;182
1984;97;43;110
1984;98;25;65
1984;99;15;37
1984;100;16;42
1987;0;426236;410579
1987;1;418452;403364
1987;2;413088;398618
1987;3;407931;393745
1987;4;404118;390274
1987;5;398040;384559
1987;6;391280;378304
1987;7;385112;372265
1987;8;376282;363743
1987;9;368320;355947
1987;10;360647;348541
1987;11;353373;341513
1987;12;347369;335885
1987;13;343460;332297
1987;14;340702;329833
1987;15;340104;329259
1987;16;339844;328915
1987;17;339891;329356
1987;18;339990;329982
1987;19;339354;329788
1987;20;336920;327983
1987;21;333274;325248
1987;22;328166;321077
1987;23;320177;314105
1987;24;311310;306263
1987;25;301381;297257
1987;26;290458;287227
1987;27;279170;276774
1987;28;267937;266191
1987;29;256327;255189
1987;30;244647;244159
1987;31;233373;233352
1987;32;222386;222705
1987;33;211874;212529
1987;34;201478;202396
1987;35;191498;192612
1987;36;183021;184246
1987;37;174024;175319
1987;38;158060;162288
1987;39;152285;156273
1987;40;145152;149233
1987;41;138063;142300
1987;42;131282;135678
1987;43;124787;129311
1987;44;118555;123190
1987;45;112766;117447
1987;46;107426;112123
1987;47;102364;107069
1987;48;97475;102222
1987;49;93576;98355
1987;50;90414;95233
1987;51;87542;92421
1987;52;84727;89690
1987;53;82501;87538
1987;54;79654;84787
1987;55;76360;81582
1987;56;73079;78388
1987;57;70392;75781
1987;58;67631;73099
1987;59;64617;70151
1987;60;61455;67054
1987;61;58248;63921
1987;62;55150;60912
1987;63;52007;57838
1987;64;48972;54849
1987;65;46043;51950
1987;66;43169;49097
1987;67;40225;46157
1987;68;37248;43182
1987;69;34908;40952
1987;70;33086;39313
1987;71;31275;37721
1987;72;29296;35932
1987;73;27590;34452
1987;74;25383;32274
1987;75;22812;29549
1987;76;20247;26726
1987;77;17990;24243
1987;78;15629;21559
1987;79;13564;19162
1987;80;11742;17024
1987;81;9985;14949
1987;82;8251;12825
1987;83;6731;10883
1987;84;5315;9125
1987;85;4070;7536
1987;86;3056;6120
1987;87;2275;4879
1987;88;1655;3824
1987;89;1198;2899
1987;90;862;2127
1987;91;608;1518
1987;92;415;1061
1987;93;278;718
1987;94;182;479
1987;95;116;315
1987;96;72;201
1987;97;44;124
1987;98;26;75
1987;99;15;44
1987;100;16;50
1990;0;438837;422807
1990;1;430989;415768
1990;2;425353;410527
1990;3;420525;405889
1990;4;415473;401060
1990;5;410971;396999
1990;6;406058;392328
1990;7;402472;389034
1990;8;396683;383532
1990;9;390208;377486
1990;10;384260;371612
1990;11;375551;363184
1990;12;367590;355401
1990;13;359803;347925
1990;14;352291;340750
1990;15;345908;334896
1990;16;341474;331020
1990;17;338064;328230
1990;18;336711;327322
1990;19;335649;326659
1990;20;334908;326818
1990;21;334303;327207
1990;22;333104;326833
1990;23;330284;324905
1990;24;326411;322102
1990;25;321213;317915
1990;26;313252;310974
1990;27;304484;303197
1990;28;294716;294283
1990;29;284003;284363
1990;30;272962;274027
1990;31;261997;263565
1990;32;250677;252679
1990;33;239292;241757
1990;34;228309;231052
1990;35;217600;220496
1990;36;207356;210403
1990;37;197212;200346
1990;38;187468;190630
1990;39;179194;182317
1990;40;170395;173445
1990;41;154730;160494
1990;42;149081;154515
1990;43;142083;147516
1990;44;135111;140618
1990;45;128425;134020
1990;46;121997;127661
1990;47;115809;121530
1990;48;110037;115756
1990;49;104697;110387
1990;50;99629;105280
1990;51;94740;100386
1990;52;90831;96471
1990;53;87651;93304
1990;54;84756;90449
1990;55;81905;87675
1990;56;79599;85458
1990;57;76655;82631
1990;58;73243;79341
1990;59;69815;76042
1990;60;66895;73260
1990;61;63913;70412
1990;62;60729;67329
1990;63;57468;64141
1990;64;54197;60929
1990;65;51046;57844
1990;66;47860;54693
1990;67;44773;51617
1990;68;41777;48616
1990;69;38828;45652
1990;70;35865;42642
1990;71;32892;39612
1990;72;30508;37279
1990;73;28557;35462
1990;74;26636;33695
1990;75;24594;31760
1990;76;22797;30102
1990;77;20606;27837
1990;78;18150;25115
1990;79;15742;22330
1990;80;13619;19845
1990;81;11466;17208
1990;82;9588;14821
1990;83;7945;12660
1990;84;6423;10601
1990;85;5013;8606
1990;86;3842;6872
1990;87;2840;5410
1990;88;2033;4200
1990;89;1427;3216
1990;90;994;2423
1990;91;676;1796
1990;92;458;1284
1990;93;308;883
1990;94;203;586
1990;95;129;378
1990;96;79;236
1990;97;48;145
1990;98;28;87
1990;99;16;51
1990;100;19;61
1993;0;448021;432080
1993;1;443744;428007
1993;2;439020;423415
1993;3;433836;418742
1993;4;428362;413752
1993;5;423488;409116
1993;6;418864;404650
1993;7;414015;399977
1993;8;409768;396097
1993;9;405110;391605
1993;10;401719;388449
1993;11;396027;383020
1993;12;389529;376970
1993;13;383431;371012
1993;14;374436;362423
1993;15;366024;354404
1993;16;357614;346640
1993;17;349326;339152
1993;18;342053;332989
1993;19;336667;328826
1993;20;332339;325791
1993;21;330187;324683
1993;22;328545;323870
1993;23;327461;323928
1993;24;326722;324259
1993;25;325539;323872
1993;26;322831;321969
1993;27;319101;319220
1993;28;314057;315108
1993;29;306287;308261
1993;30;297717;300581
1993;31;288166;291767
1993;32;277691;281943
1993;33;266902;271697
1993;34;256197;261315
1993;35;245153;250506
1993;36;234050;239655
1993;37;223347;229015
1993;38;212918;218522
1993;39;202944;208489
1993;40;193067;198489
1993;41;183578;188831
1993;42;175523;180566
1993;43;166938;171743
1993;44;151574;158865
1993;45;146027;152898
1993;46;139116;145900
1993;47;132191;138983
1993;48;125515;132344
1993;49;119073;125929
1993;50;112865;119736
1993;51;107081;113904
1993;52;101743;108490
1993;53;96698;103356
1993;54;91840;98446
1993;55;87934;94501
1993;56;84713;91279
1993;57;81733;88341
1993;58;78753;85455
1993;59;76260;83087
1993;60;73089;80076
1993;61;69498;76636
1993;62;65863;73166
1993;63;62799;70264
1993;64;59700;67315
1993;65;56428;64147
1993;66;53095;60880
1993;67;49750;57576
1993;68;46511;54376
1993;69;43242;51101
1993;70;40109;47921
1993;71;37073;44814
1993;72;34104;41755
1993;73;31122;38649
1993;74;28172;35555
1993;75;25763;33112
1993;76;23742;31141
1993;77;21763;29216
1993;78;19701;27145
1993;79;17851;25302
