dpnom;año;area_geografica;sexo;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100
Nacional;1956;Total;total;611396;567654;543002;521657;502054;483543;467376;451452;436243;421310;406987;393090;379403;366007;352938;340759;329913;319892;310907;302920;296097;289358;283570;276946;268634;259208;250147;241218;231910;222193;212238;202502;192873;184258;177198;170999;164905;159008;154341;149594;144815;140558;137253;133033;126889;120832;115367;111015;107638;108091;104176;100292;96508;93069;89338;85566;81843;78230;74685;71240;67862;64525;61191;57836;54463;51075;47730;44412;41156;37972;34867;32619;29023;26469;23980;21566;19317;17195;15080;12950;10890;9015;7407;6094;5081;4333;3807;3460;3246;3128;3082;2622;2119;1618;1168;792;505;302;168;89;217
Nacional;1957;Cabecera;total;227684;213474;205529;198587;192009;185683;179478;173950;168426;163292;158134;153755;149674;145795;142302;139185;136667;134840;133524;132596;131679;131020;129982;128739;126593;123491;119578;115564;111294;106732;101769;96610;91575;86861;82759;79327;76353;73266;70046;67265;64449;61606;59137;57321;55244;52345;49521;47020;45136;43731;44168;42825;41374;39791;38253;36590;34884;33199;31564;29963;28392;26853;25317;23787;22260;20770;19269;17829;16461;15150;13858;12619;11768;10292;9298;8344;7431;6600;5813;5048;4283;3559;2909;2361;1917;1581;1330;1153;1032;956;905;880;736;586;439;317;210;134;86;46;98
Nacional;1957;Centros Poblados y Rural Disperso;total;401001;371174;353871;339032;325542;313039;301288;291115;281021;271162;261530;251660;241860;232034;222050;212001;202245;193118;184276;176070;168859;162553;156725;152081;147545;142309;136789;131742;127132;122498;117862;113185;108605;103807;99406;95873;92738;89816;87212;85371;83493;81604;79856;78388;76268;73050;69838;66889;64412;62424;62373;59877;57482;55327;53519;51490;49460;47450;45484;43540;41649;39775;37916;36047;34159;32212;30261;28279;26258;24258;22316;20403;19070;16844;15311;13813;12368;11018;9760;8503;7253;6049;4960;4030;3280;2698;2272;1970;1765;1631;1551;1503;1259;1002;756;533;358;225;127;72;107
Nacional;1957;Total;total;628685;584648;559400;537619;517551;498722;480766;465065;449447;434454;419664;405415;391534;377829;364352;351186;338912;327958;317800;308666;300538;293573;286707;280820;274138;265800;256367;247306;238426;229230;219631;209795;200180;190668;182165;175200;169091;163082;157258;152636;147942;143210;138993;135709;131512;125395;119359;113909;109548;106155;106541;102702;98856;95118;91772;88080;84344;80649;77048;73503;70041;66628;63233;59834;56419;52982;49530;46108;42719;39408;36174;33022;30838;27136;24609;22157;19799;17618;15573;13551;11536;9608;7869;6391;5197;4279;3602;3123;2797;2587;2456;2383;1995;1588;1195;850;568;359;213;118;205
Nacional;1958;Cabecera;total;237267;223042;214825;207587;200771;194192;187778;181653;176065;170714;165479;160874;156633;152661;149041;145779;142870;140498;138822;137418;136026;134799;133556;131803;129978;127611;124172;119938;115550;111131;106344;101269;96116;91342;86770;82639;79273;76142;72830;69477;66674;63820;61100;58862;57162;55068;52174;49391;47010;45157;43948;44360;42909;41305;39592;38103;36413;34704;33011;31358;29716;28115;26523;24942;23366;21825;20274;18761;17333;15958;14610;13312;12050;11188;9673;8690;7748;6863;6044;5292;4549;3826;3147;2544;2038;1639;1332;1106;947;837;763;715;682;562;440;331;232;153;103;60;105
Nacional;1958;Centros Poblados y Rural Disperso;total;408506;379092;361560;346426;332732;320003;308134;296710;286983;276931;267311;257197;247204;237271;227105;216792;206441;196430;187019;178117;170235;163198;157345;152133;148008;143650;138734;133538;128912;124560;120269;115860;111301;106578;101756;97493;93988;91098;88475;86066;84290;82498;80526;78580;77007;74912;71710;68474;65417;62892;60689;60598;58281;56077;54100;52324;50362;48375;46394;44457;42547;40660;38791;36917;35036;33103;31158;29143;27078;25013;23005;21028;19103;17851;15575;14070;12614;11213;9929;8720;7538;6363;5253;4257;3420;2746;2232;1854;1585;1398;1275;1190;1137;938;738;541;381;252;152;90;114
Nacional;1958;Total;total;645773;602134;576385;554013;533503;514195;495912;478363;463048;447645;432790;418071;403837;389932;376146;362571;349311;336928;325841;315535;306261;297997;290901;283936;277986;271261;262906;253476;244462;235691;226613;217129;207417;197920;188526;180132;173261;167240;161305;155543;150964;146318;141626;137442;134169;129980;123884;117865;112427;108049;104637;104958;101190;97382;93692;90427;86775;83079;79405;75815;72263;68775;65314;61859;58402;54928;51432;47904;44411;40971;37615;34340;31153;29039;25248;22760;20362;18076;15973;14012;12087;10189;8400;6801;5458;4385;3564;2960;2532;2235;2038;1905;1819;1500;1178;872;613;405;255;150;219
Nacional;1959;Cabecera;total;247468;233274;224971;217450;210318;203476;196783;190434;184190;178807;173338;168665;164192;160054;156341;152953;149896;147121;144880;143094;141190;139459;137612;135636;133277;131226;128517;124746;120121;115573;110917;106008;100930;96041;91406;86796;82726;79192;75825;72373;68997;66147;63415;60927;58806;57086;54992;52135;49472;47122;45461;44216;44488;42890;41150;39462;37962;36267;34552;32841;31149;29477;27823;26187;24558;22965;21362;19797;18296;16859;15444;14087;12767;11451;10618;9065;8092;7177;6305;5518;4782;4077;3394;2762;2206;1749;1387;1112;912;772;672;606;557;525;424;334;242;169;118;73;122
Nacional;1959;Centros Poblados y Rural Disperso;total;415130;386278;368884;353538;339573;326655;314572;303038;292058;282422;272626;262510;252278;242157;231878;221382;210767;200175;189900;180453;171911;164236;157690;152469;147803;143854;139806;135214;130460;126105;122106;118050;113764;109063;104318;99651;95434;92190;89610;87190;84864;83174;81299;79130;77088;75531;73438;70214;66874;63790;61054;58871;58850;56750;54723;52758;51073;49160;47213;45269;43376;41480;39604;37728;35849;33930;32006;29997;27900;25797;23729;21693;19712;17818;16607;14305;12844;11433;10102;8870;7730;6616;5527;4508;3613;2864;2272;1824;1493;1256;1094;982;901;848;690;530;389;269;169;106;130
Nacional;1959;Total;total;662598;619552;593855;570988;549891;530131;511355;493472;476248;461229;445964;431175;416470;402211;388219;374335;360663;347296;334780;323547;313101;303695;295302;288105;281080;275080;268323;259960;250581;241678;233023;224058;214694;205104;195724;186447;178160;171382;165435;159563;153861;149321;144714;140057;135894;132617;128430;122349;116346;110912;106515;103087;103338;99640;95873;92220;89035;85427;81765;78110;74525;70957;67427;63915;60407;56895;53368;49794;46196;42656;39173;35780;32479;29269;27225;23370;20936;18610;16407;14388;12512;10693;8921;7270;5819;4613;3659;2936;2405;2028;1766;1588;1458;1373;1114;864;631;438;287;179;252
