2010-07-01;;;;;;;;;;;;110,2;25,5;;;;;;;;84,9;;;;105,8;43,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-08-01;;;;;;;;;;;;41,7;46,8;;;;;;;;48,8;;;;47,3;30,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-09-01;;;;;;;;;;;;74,0;79,2;;;;;;;;32,1;;;;43,6;70,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-10-01;;;;;;;;;;;;79,1;5,5;;;;;;;;31,6;;;;;27,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-11-01;;;;;;;;;;;;148,5;36,6;;;;;;;;51,5;;;;;57,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2010-12-01;;;;;;;;;;;;117,6;14,6;;;;;;;;33,9;;;;;17,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-01-01;;;;;;;;36,4;;;;58,5;1,2;;;;;;;;5,7;;;;;4,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-02-01;;;;;;;;6,3;;;;69,1;;;;;;;;;25,7;;;;;14,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-03-01;;;;;;;;18,0;;;;131,5;98,1;;;;;;;;;;;;;38,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-04-01;;;;;;;;58,0;5,5;;;193,3;94,3;;;;;;;;;;;;;42,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-05-01;;;;;;;;32,7;;;;55,8;30,400000000000002;;;;;;;;;;;;;34,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-06-01;;;;;;;;40,7;29,6;;;48,8;33,3;;;;;;;;;;;;;11,4;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-07-01;;;;;;;;92,8;;;;43,3;13,1;;;;;;;;;;;;;74,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-08-01;;;;;;;;55,9;;;;90,3;52,9;;;;;;;;;;;;;31,500000000000004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-09-01;;;;;;;;46,400000000000006;;;;52,5;31,200000000000003;;;;;;;;;;;;;27,5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-10-01;;;;;;;;38,1;;;;94,4;61,6;;;;;;;;;;;;;41,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-11-01;;;;;;;;55,5;;;;107,0;87,0;;;;;;;;102,2;;;;;39,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2011-12-01;;;;;;;;42,5;33,4;;;181,5;22,2;;;;;;;;25,8;;;;;13,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-01-01;;;;;;;;22,400000000000002;42,1;;;147,4;;;;;;;;;11,3;;;;;19,1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-02-01;;;;;;;;14,7;17,2;;;52,0;2,2;;13,5;;;;;;68,2;;;;;7,0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-03-01;;;;;;;;9,8;14,0;;;67,1;;;21,3;;;;;;87,7;;;;;12,200000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-04-01;;;;;;;;;;;;110,4;;;;;;;;;27,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-05-01;;;;;;;;;;;;70,7;;;;;;;;;70,2;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-06-01;;;;;;;;;;;;48,5;9,0;;24,2;;;;;;60,8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-07-01;;;;;;;;;;;;41,5;6,5;;22,1;;;;;;4,0;;;;23,400000000000002;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-08-01;;;;;;;;;;;;51,6;22,6;;48,400000000000006;;;;;;;;;;40,9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-09-01;;;;;;;;;;;;46,300000000000004;22,6;;14,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-10-01;;;;;;;;41,0;21,700000000000003;;;89,10000000000001;83,7;;42,7;;;;;;3,5;;;;;38,300000000000004;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-11-01;;;;;;;;33,9;62,3;;;116,3;46,6;;63,1;;;;;;0,2;;;;;35,3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2012-12-01;;;;;;;;11,8;8,4;;;94,7;21,6;;16,4;;;;;;;;;;;8,200000000000001;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013-01-01;;;;;;;;;;;;42,5;2,4;;9,0;;;;;;;;;;;0,7;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
